gene	type	organ
PEX19	Confirmed DD Gene	Brain/Cognition
PEX3	Confirmed DD Gene	Brain/Cognition
PEX6	Confirmed DD Gene	Brain/Cognition
PPT1	Confirmed DD Gene	Brain/Cognition
GM2A	Confirmed DD Gene	Brain/Cognition
SGSH	Confirmed DD Gene	Brain/Cognition
TPP1	Confirmed DD Gene	Brain/Cognition
ALG12	Confirmed DD Gene	Brain/Cognition
AMER1	Both DD and IF	Skeleton
ANKH	Confirmed DD Gene	Skeleton
ANO5	Both DD and IF	Skeleton
NPR2	Confirmed DD Gene	Skeleton
CHD7	Confirmed DD Gene	Brain/Cognition
CHST3	Confirmed DD Gene	Skeleton
COL3A1	Confirmed DD Gene	Skin
COL9A1	Confirmed DD Gene	Skeleton
COL9A2	Confirmed DD Gene	Skeleton
COL9A3	Confirmed DD Gene	Skeleton
COL10A1	Confirmed DD Gene	Skeleton
COL11A2	Confirmed DD Gene	Skeleton
COMP	Confirmed DD Gene	Skeleton
DDR2	Confirmed DD Gene	Skeleton
DOCK8	Possible DD Gene	Brain/Cognition
DSPP	Confirmed DD Gene	Teeth & Dentitian
FREM1	Confirmed DD Gene	Brain/Cognition
RAB18	Confirmed DD Gene	Brain/Cognition
RAB3GAP1	Confirmed DD Gene	Brain/Cognition
DYNC2H1	Confirmed DD Gene	Skeleton
EFNB1	Confirmed DD Gene	Skeleton
EVC	Confirmed DD Gene	Skeleton
FLNB	Confirmed DD Gene	Skeleton
FOXL2	Probable DD gene	Eye
FZD6	Confirmed DD Gene	Skin
GPC6	Probable DD gene	Skeleton
IFT43	Confirmed DD Gene	Skin
EVC2	Confirmed DD Gene	Skeleton
LBR	Confirmed DD Gene	Skeleton
LDB3	Both DD and IF	Heart/Cardiovasculature
LDB3	Both DD and IF	Musculature
LMX1B	Confirmed DD Gene	Skeleton
LRP5	Confirmed DD Gene	Skeleton
LEMD3	Confirmed DD Gene	Skeleton
MATN3	Confirmed DD Gene	Skeleton
MMP13	Confirmed DD Gene	Skeleton
MYH8	Both DD and IF	Skeleton
NKX3-2	Confirmed DD Gene	Skeleton
NPHP1	Confirmed DD Gene	Kidney Renal Tract
NPHP1	Confirmed DD Gene	Eye
NPHP3	Confirmed DD Gene	GI tract
NPHP3	Confirmed DD Gene	Kidney Renal Tract
NPHP4	Confirmed DD Gene	Kidney Renal Tract
PAPSS2	Confirmed DD Gene	Skeleton
HSPG2	Confirmed DD Gene	Skeleton
ACAN	Both DD and IF	Skeleton
PTH1R	Confirmed DD Gene	Skeleton
RUNX2	Confirmed DD Gene	Skeleton
SLC26A2	Confirmed DD Gene	Skeleton
SLC35D1	Confirmed DD Gene	Skeleton
SLC39A13	Confirmed DD Gene	Skeleton
SHOX	Confirmed DD Gene	Skeleton
SIX1	Confirmed DD Gene	Ear
SIX1	Confirmed DD Gene	Kidney Renal Tract
STAT1	Confirmed DD Gene	Bone Marrow/Immune 
TGFB1	Confirmed DD Gene	Skeleton
TTN	Possible DD Gene	Musculature
TTN	Possible DD Gene	Heart/Cardiovasculature
TRAPPC2	Confirmed DD Gene	Skeleton
TRIP11	Confirmed DD Gene	Skeleton
