gene	type	organ
OFD1	Confirmed DD Gene	Face
OFD1	Confirmed DD Gene	Brain/Cognition
OFD1	Confirmed DD Gene	Kidney Renal Tract
OPHN1	Confirmed DD Gene	Brain/Cognition
OPHN1	Confirmed DD Gene	Face
SLC25A15	Confirmed DD Gene	Endocrine/Metabolic
SLC25A15	Confirmed DD Gene	Brain/Cognition
ALDH18A1	Confirmed DD Gene	Brain/Cognition
ALDH18A1	Confirmed DD Gene	Skin
ALDH18A1	Confirmed DD Gene	Skeleton
TP63	Confirmed DD Gene	Skin
TP63	Confirmed DD Gene	Face
TP63	Confirmed DD Gene	Skeleton
PAK3	Confirmed DD Gene	Brain/Cognition
PAX8	Confirmed DD Gene	Endocrine/Metabolic
PAX8	Confirmed DD Gene	Brain/Cognition
PCDH19	Confirmed DD Gene	Brain/Cognition
SLC46A1	Confirmed DD Gene	Endocrine/Metabolic
SLC46A1	Confirmed DD Gene	Brain/Cognition
SLC46A1	Confirmed DD Gene	Bone Marrow/Immune 
PDCD10	Both DD and IF	Heart/Cardiovasculature/Lymphatic
PDCD10	Both DD and IF	Brain/Cognition
PEPD	Confirmed DD Gene	Endocrine/Metabolic
PEPD	Confirmed DD Gene	Brain/Cognition
PEPD	Confirmed DD Gene	Bone Marrow/Immune 
PEX10	Confirmed DD Gene	Endocrine/Metabolic
PEX10	Confirmed DD Gene	Brain/Cognition
PEX10	Confirmed DD Gene	Skeleton
PEX10	Confirmed DD Gene	GI tract
PEX10	Confirmed DD Gene	Kidney Renal Tract
PEX13	Confirmed DD Gene	Endocrine/Metabolic
PEX13	Confirmed DD Gene	Skeleton
PEX13	Confirmed DD Gene	GI tract
PEX13	Confirmed DD Gene	Kidney Renal Tract
PEX1	Confirmed DD Gene	Endocrine/Metabolic
PEX1	Confirmed DD Gene	Brain/Cognition
PEX1	Confirmed DD Gene	Skeleton
PEX1	Confirmed DD Gene	GI tract
PEX1	Confirmed DD Gene	Kidney Renal Tract
PEX13	Confirmed DD Gene	Brain/Cognition
PEX26	Confirmed DD Gene	Brain/Cognition
PEX26	Confirmed DD Gene	Endocrine/Metabolic
PEX26	Confirmed DD Gene	Skeleton
PEX26	Confirmed DD Gene	GI tract
PEX26	Confirmed DD Gene	Kidney Renal Tract
PEX2	Confirmed DD Gene	Endocrine/Metabolic
PEX2	Confirmed DD Gene	Brain/Cognition
PEX2	Confirmed DD Gene	Skeleton
PEX2	Confirmed DD Gene	Kidney Renal Tract
PEX2	Confirmed DD Gene	GI tract
PEX5	Confirmed DD Gene	Brain/Cognition
PEX5	Confirmed DD Gene	Skeleton
PEX5	Confirmed DD Gene	Endocrine/Metabolic
PEX5	Confirmed DD Gene	GI tract
PEX5	Confirmed DD Gene	Kidney Renal Tract
PEX7	Confirmed DD Gene	Brain/Cognition
PEX7	Confirmed DD Gene	Endocrine/Metabolic
PEX7	Confirmed DD Gene	GI tract
PEX7	Confirmed DD Gene	Face
PEX7	Confirmed DD Gene	Skeleton
PGK1	Confirmed DD Gene	Endocrine/Metabolic
PGK1	Confirmed DD Gene	Bone Marrow/Immune 
PGK1	Confirmed DD Gene	Musculature
PGK1	Confirmed DD Gene	Brain/Cognition
PAH	Confirmed DD Gene	Endocrine/Metabolic
PAH	Confirmed DD Gene	Brain/Cognition
PAH	Confirmed DD Gene	Skin
PHF6	Confirmed DD Gene	Brain/Cognition
PHF6	Confirmed DD Gene	Face
PHF8	Confirmed DD Gene	Brain/Cognition
PIGV	Confirmed DD Gene	Brain/Cognition
PIGV	Confirmed DD Gene	Endocrine/Metabolic
POMT1	Confirmed DD Gene	Musculature
POMT1	Confirmed DD Gene	Brain/Cognition
POMT2	Confirmed DD Gene	Brain/Cognition
POMT2	Confirmed DD Gene	Musculature
POMT2	Confirmed DD Gene	Eye
CTSA	Confirmed DD Gene	Endocrine/Metabolic
CTSA	Confirmed DD Gene	Skeleton
PRPS1	Confirmed DD Gene	Spinal cord/Peripheral nerves
PRPS1	Confirmed DD Gene	Endocrine/Metabolic
PTEN	Confirmed DD Gene	Brain/Cognition
PTEN	Confirmed DD Gene	Skin
PTEN	Confirmed DD Gene	Skeleton
BBS9	Confirmed DD Gene	Brain/Cognition
BBS9	Confirmed DD Gene	Eye
BBS9	Confirmed DD Gene	Skeleton
BBS9	Confirmed DD Gene	Respiratory tract
ADSL	Confirmed DD Gene	Endocrine/Metabolic
ADSL	Confirmed DD Gene	Brain/Cognition
ATIC	Confirmed DD Gene	Endocrine/Metabolic
ATIC	Confirmed DD Gene	Brain/Cognition
PC	Confirmed DD Gene	Endocrine/Metabolic
PC	Confirmed DD Gene	Brain/Cognition
RAI1	Confirmed DD Gene	Brain/Cognition
RAI1	Confirmed DD Gene	Face
RAI1	Confirmed DD Gene	Skeleton
RASA1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
RASA1	Confirmed DD Gene	Skeleton
HRAS	Confirmed DD Gene	Brain/Cognition
HRAS	Confirmed DD Gene	Skin
HRAS	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
HRAS	Confirmed DD Gene	Face
KRAS	Confirmed DD Gene	Brain/Cognition
KRAS	Confirmed DD Gene	Skin
KRAS	Confirmed DD Gene	Face
RAB39B	Confirmed DD Gene	Brain/Cognition
RBM28	Possible DD Gene	Skin
RBM28	Possible DD Gene	Brain/Cognition
RBM28	Possible DD Gene	Endocrine/Metabolic
UPF3B	Confirmed DD Gene	Brain/Cognition
UPF3B	Confirmed DD Gene	Skeleton
ATP6AP2	Possible DD Gene	Brain/Cognition
FTSJ1	Confirmed DD Gene	Brain/Cognition
SLC12A6	Confirmed DD Gene	Brain/Cognition
SLC12A6	Confirmed DD Gene	Spinal cord/Peripheral nerves
SLC12A6	Confirmed DD Gene	Face
SLC17A5	Confirmed DD Gene	Endocrine/Metabolic
SLC17A5	Confirmed DD Gene	Brain/Cognition
SLC4A4	Confirmed DD Gene	Endocrine/Metabolic
SLC4A4	Confirmed DD Gene	Brain/Cognition
SLC4A4	Confirmed DD Gene	Eye
SLC4A4	Confirmed DD Gene	Kidney Renal Tract
SALL1	Confirmed DD Gene	Skeleton
SALL1	Confirmed DD Gene	Ear
SALL1	Confirmed DD Gene	GI tract
SALL1	Confirmed DD Gene	Kidney Renal Tract
SATB2	Confirmed DD Gene	Brain/Cognition
SATB2	Confirmed DD Gene	Face
SC5D	Confirmed DD Gene	Brain/Cognition
SC5D	Confirmed DD Gene	Endocrine/Metabolic
SC5D	Confirmed DD Gene	GI tract
SLC6A8	Confirmed DD Gene	Brain/Cognition
SLC6A8	Confirmed DD Gene	Face
SLC6A8	Confirmed DD Gene	Skeleton
SCO1	Confirmed DD Gene	Endocrine/Metabolic
SCO1	Confirmed DD Gene	Brain/Cognition
SCO1	Confirmed DD Gene	GI tract
SCO1	Confirmed DD Gene	Musculature
SCO1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
SETBP1	Confirmed DD Gene	Brain/Cognition
SETBP1	Confirmed DD Gene	Skeleton
SETBP1	Confirmed DD Gene	Face
SHANK2	Possible DD Gene	Brain/Cognition
SHROOM4	Possible DD Gene	Brain/Cognition
SHROOM4	Possible DD Gene	Skeleton
SIL1	Confirmed DD Gene	Brain/Cognition
SIL1	Confirmed DD Gene	Eye
SIL1	Confirmed DD Gene	Endocrine/Metabolic
SIL1	Confirmed DD Gene	Skeleton
SLC9A6	Confirmed DD Gene	Brain/Cognition
SLC9A9	Possible DD Gene	Brain/Cognition
SMAD4	Both DD and IF	GI tract
SMAD4	Both DD and IF	Heart/Cardiovasculature/Lymphatic
SMAD4	Both DD and IF	Skeleton
SMC1A	Confirmed DD Gene	Brain/Cognition
SMC1A	Confirmed DD Gene	Skeleton
SMC1A	Confirmed DD Gene	GI tract
SMC1A	Confirmed DD Gene	Genitalia
SMC3	Possible DD Gene	Brain/Cognition
SMC3	Possible DD Gene	Skeleton
SOBP	Possible DD Gene	Brain/Cognition
SOBP	Possible DD Gene	Face
SOBP	Possible DD Gene	Eye
SOX3	Confirmed DD Gene	Brain/Cognition
SOX3	Confirmed DD Gene	Endocrine/Metabolic
SMS	Probable DD gene	Brain/Cognition
SMS	Probable DD gene	Skeleton
SMS	Probable DD gene	Face
SPATA16	Not DD Gene	Genitalia
SPTAN1	Probable DD gene	Brain/Cognition
SRGAP3	Possible DD Gene	Brain/Cognition
SRPX2	Probable DD gene	Brain/Cognition
SYP	Confirmed DD Gene	Brain/Cognition
TUBA1A	Confirmed DD Gene	Brain/Cognition
TUBA8	Confirmed DD Gene	Brain/Cognition
TUBA8	Confirmed DD Gene	Eye
TUBB2B	Confirmed DD Gene	Brain/Cognition
TBCE	Confirmed DD Gene	Brain/Cognition
TBCE	Confirmed DD Gene	Skeleton
TBCE	Confirmed DD Gene	Bone Marrow/Immune 
TBX20	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
TBX5	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
TBX5	Confirmed DD Gene	Skeleton
GTF2H5	Confirmed DD Gene	Skin
GTF2H5	Confirmed DD Gene	Brain/Cognition
GTF2H5	Confirmed DD Gene	Bone Marrow/Immune 
TGFBR1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
TGFBR1	Confirmed DD Gene	Face
TGFBR1	Confirmed DD Gene	Skeleton
TLL1	Possible DD Gene	Heart/Cardiovasculature/Lymphatic
TRAPPC9	Confirmed DD Gene	Brain/Cognition
TRIM32	Confirmed DD Gene	Musculature
TRIM32	Confirmed DD Gene	Brain/Cognition
TRIM32	Confirmed DD Gene	Eye
TRIM32	Confirmed DD Gene	Kidney Renal Tract
TRPS1	Confirmed DD Gene	Skin
TRPS1	Confirmed DD Gene	Face
TRPS1	Confirmed DD Gene	Skeleton
TSC1	Confirmed DD Gene	Brain/Cognition
TSC1	Confirmed DD Gene	Skin
TSC1	Confirmed DD Gene	Kidney Renal Tract
TSC2	Confirmed DD Gene	Brain/Cognition
TSC2	Confirmed DD Gene	Skin
TSC2	Confirmed DD Gene	Kidney Renal Tract
TSPAN7	Confirmed DD Gene	Brain/Cognition
TTC8	Confirmed DD Gene	Eye
TTC8	Confirmed DD Gene	Brain/Cognition
TTC8	Confirmed DD Gene	Skeleton
TTC8	Confirmed DD Gene	Kidney Renal Tract
TTC8	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
TUSC3	Confirmed DD Gene	Brain/Cognition
YY1	Possible DD Gene	Brain/Cognition
UBR1	Confirmed DD Gene	Brain/Cognition
UBR1	Confirmed DD Gene	Skeleton
UBR1	Confirmed DD Gene	Face
UBR1	Confirmed DD Gene	Endocrine/Metabolic
UMPS	Confirmed DD Gene	Endocrine/Metabolic
UMPS	Confirmed DD Gene	Brain/Cognition
UMPS	Confirmed DD Gene	Bone Marrow/Immune 
UVRAG	Possible DD Gene	Heart/Cardiovasculature/Lymphatic
UVRAG	Possible DD Gene	GI tract
VANGL1	Possible DD Gene	Spinal cord/Peripheral nerves
VANGL1	Possible DD Gene	Skeleton
VLDLR	Confirmed DD Gene	Brain/Cognition
VLDLR	Confirmed DD Gene	Skeleton
WDR62	Confirmed DD Gene	Brain/Cognition
WNT10B	Confirmed DD Gene	Skeleton
WNT7A	Confirmed DD Gene	Skeleton
WT1	Confirmed DD Gene	Kidney Renal Tract
WT1	Confirmed DD Gene	Genitalia
WT1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
XPNPEP3	Possible DD Gene	Kidney Renal Tract
XPNPEP3	Possible DD Gene	
ZBTB16	Possible DD Gene	Skeleton
ZBTB16	Possible DD Gene	Genitalia
ZBTB16	Possible DD Gene	Brain/Cognition
ZDHHC15	Possible DD Gene	Brain/Cognition
ZDHHC9	Confirmed DD Gene	Brain/Cognition
ZFYVE26	Confirmed DD Gene	Brain/Cognition
ZFYVE26	Confirmed DD Gene	Eye
ZMYM3	Possible DD Gene	Brain/Cognition
ZNF599	Possible DD Gene	Brain/Cognition
ZNF674	Possible DD Gene	Brain/Cognition
ZNF711	Confirmed DD Gene	Brain/Cognition
ZNF41	Possible DD Gene	Brain/Cognition
ZNF81	Possible DD Gene	Brain/Cognition
ACBD6	Possible DD Gene	Brain/Cognition
ADK	Possible DD Gene	Brain/Cognition
ADRA2B	Possible DD Gene	Brain/Cognition
ASCC3	Possible DD Gene	Brain/Cognition
ASCL1	Possible DD Gene	Brain/Cognition
ARL14EP	Possible DD Gene	Brain/Cognition
C12orf57	Possible DD Gene	Brain/Cognition
TTI2	Probable DD gene	Brain/Cognition
RABL6	Possible DD Gene	Brain/Cognition
CACNA1G	Possible DD Gene	Brain/Cognition
CAPN10	Possible DD Gene	Brain/Cognition
CASP2	Possible DD Gene	Brain/Cognition
CCNA2	Possible DD Gene	Brain/Cognition
CNKSR1	Possible DD Gene	Brain/Cognition
COQ5	Possible DD Gene	Brain/Cognition
EEF1B2	Possible DD Gene	Brain/Cognition
ELP2	Possible DD Gene	Brain/Cognition
ENTPD1	Possible DD Gene	Brain/Cognition
ERLIN2	Possible DD Gene	Brain/Cognition
FASN	Possible DD Gene	Brain/Cognition
FRY	Possible DD Gene	Brain/Cognition
GON4L	Possible DD Gene	Brain/Cognition
HIST1H4B	Possible DD Gene	Brain/Cognition
HIST3H3	Possible DD Gene	Brain/Cognition
INPP4A	Possible DD Gene	Brain/Cognition
KDM5A	Possible DD Gene	Brain/Cognition
KDM6B	Possible DD Gene	Brain/Cognition
KIF7	Confirmed DD Gene	Brain/Cognition
LAMA1	Possible DD Gene	Brain/Cognition
LARP7	Possible DD Gene	Brain/Cognition
LINS	Possible DD Gene	Brain/Cognition
MAN1B1	Possible DD Gene	Brain/Cognition
NDST1	Possible DD Gene	Brain/Cognition
PARP1	Possible DD Gene	Brain/Cognition
PECR	Possible DD Gene	Brain/Cognition
PRMT10	Possible DD Gene	Brain/Cognition
POLR3B	Confirmed DD Gene	Teeth & Dentitian
POLR3B	Confirmed DD Gene	Endocrine/Metabolic
PRRT2	Confirmed DD Gene	Brain/Cognition
RALGDS	Possible DD Gene	Brain/Cognition
RGS7	Possible DD Gene	Brain/Cognition
SCAPER	Possible DD Gene	Brain/Cognition
SLC31A1	Possible DD Gene	Brain/Cognition
TAF2	Possible DD Gene	Brain/Cognition
TMEM135	Possible DD Gene	Brain/Cognition
TRMT1	Possible DD Gene	Brain/Cognition
UBR7	Possible DD Gene	Brain/Cognition
WDR45B	Possible DD Gene	Brain/Cognition
ZBTB40	Possible DD Gene	Brain/Cognition
ZCCHC8	Possible DD Gene	Brain/Cognition
ZNF526	Possible DD Gene	Brain/Cognition
ALK	Child IF	Spinal cord/Peripheral nerves
ALK	Child IF	Endocrine/Metabolic
APC	Child IF	GI tract
APC	Child IF	Skeleton
APC	Child IF	Eye
FH	Both DD and IF	Endocrine/Metabolic
FH	Both DD and IF	Brain/Cognition
FH	Both DD and IF	Kidney Renal Tract
GPC3	Confirmed DD Gene	Skeleton
GPC3	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
GPC3	Confirmed DD Gene	Face
CDC73	IF Gene: Adult Rx	Endocrine/Metabolic
CDC73	IF Gene: Adult Rx	Skeleton
ATM	Confirmed DD Gene	Brain/Cognition
ATM	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
ATM	Confirmed DD Gene	Bone Marrow/Immune 
FLCN	IF Gene: Adult Rx	Skin
FLCN	IF Gene: Adult Rx	Kidney Renal Tract
MUTYH	IF Gene: Adult Rx	GI tract
NF2	Child IF	Eye
NF2	Child IF	Spinal cord/Peripheral nerves
NF2	Child IF	Ear
PALB2	Confirmed DD Gene	Skeleton
PALB2	Confirmed DD Gene	Bone Marrow/Immune 
PMS2	Both DD and IF	GI tract
PMS1	IF Gene: Adult Rx	GI tract
UNC13D	Child IF	Bone Marrow/Immune 
STX11	Child IF	Bone Marrow/Immune 
STXBP2	Child IF	Bone Marrow/Immune 
PTCH1	Confirmed DD Gene	Brain/Cognition
PTCH1	Confirmed DD Gene	Skin
BLM	Confirmed DD Gene	Brain/Cognition
BLM	Confirmed DD Gene	Skin
BLM	Confirmed DD Gene	Bone Marrow/Immune 
BRIP1	Confirmed DD Gene	Bone Marrow/Immune 
BRIP1	Confirmed DD Gene	Skeleton
BUB1B	Confirmed DD Gene	Brain/Cognition
BUB1B	Confirmed DD Gene	Skeleton
DDB2	Confirmed DD Gene	Skin
DDB2	Confirmed DD Gene	Skeleton
ERCC4	Confirmed DD Gene	Skin
ERCC4	Confirmed DD Gene	Skeleton
EXT2	Confirmed DD Gene	Skeleton
FANCA	Confirmed DD Gene	Bone Marrow/Immune 
FANCA	Confirmed DD Gene	Skeleton
FANCC	Confirmed DD Gene	Bone Marrow/Immune 
FANCC	Confirmed DD Gene	Skeleton
FANCD2	Confirmed DD Gene	Bone Marrow/Immune 
FANCD2	Confirmed DD Gene	Skeleton
FANCE	Confirmed DD Gene	Bone Marrow/Immune 
FANCE	Confirmed DD Gene	Skeleton
FANCF	Confirmed DD Gene	Skeleton
FANCG	Confirmed DD Gene	Skeleton
MPL	Child IF	Bone Marrow/Immune 
NBN	Confirmed DD Gene	Bone Marrow/Immune 
PHOX2B	Confirmed DD Gene	Brain/Cognition
PHOX2B	Confirmed DD Gene	Endocrine/Metabolic
PHOX2B	Confirmed DD Gene	GI tract
SBDS	Confirmed DD Gene	Bone Marrow/Immune 
SBDS	Confirmed DD Gene	Endocrine/Metabolic
XPA	Confirmed DD Gene	Skin
XPA	Confirmed DD Gene	Bone Marrow/Immune 
XPA	Confirmed DD Gene	Skeleton
XPC	Confirmed DD Gene	Skin
XPC	Confirmed DD Gene	Bone Marrow/Immune 
XPC	Confirmed DD Gene	Skeleton
BMPR1A	Child IF	GI tract
DICER1	Child IF	Respiratory tract
BRCA2	Confirmed DD Gene	Cancer predisposition
BRCA2	Confirmed DD Gene	Bone Marrow/Immune 
BRCA2	Confirmed DD Gene	Skeleton
CDH1	IF Gene: Adult Rx	GI tract
CDH1	IF Gene: Adult Rx	Cancer predisposition
CDK4	IF Gene: Adult Rx	Cancer predisposition
CDKN2A	IF Gene: Adult Rx	Cancer predisposition
CDKN2A	IF Gene: Adult Rx	Skin
CHEK2	IF Gene: Adult Rx	Cancer predisposition
CYLD	IF Gene: Adult Rx	Skin
CYLD	IF Gene: Adult Rx	Cancer predisposition
KIT	Both DD and IF	GI tract
KIT	Both DD and IF	Cancer predisposition
MEN1	IF Gene: Adult Rx	Cancer predisposition
MEN1	IF Gene: Adult Rx	Endocrine/Metabolic
MLH1	IF Gene: Adult Rx	Cancer predisposition
MLH1	IF Gene: Adult Rx	GI tract
MSH2	IF Gene: Adult Rx	Cancer predisposition
MSH2	IF Gene: Adult Rx	GI tract
MSH6	IF Gene: Adult Rx	GI tract
MSH6	IF Gene: Adult Rx	Cancer predisposition
RB1	Child IF	Eye
RB1	Child IF	Cancer predisposition
RET	Both DD and IF	Endocrine/Metabolic
RET	Both DD and IF	Kidney Renal Tract
RET	Both DD and IF	Cancer predisposition
SDHAF2	IF Gene: Adult Rx	Cancer predisposition
SDHAF2	IF Gene: Adult Rx	Spinal cord/Peripheral nerves
SDHB	IF Gene: Adult Rx	Cancer predisposition
SDHB	IF Gene: Adult Rx	Spinal cord/Peripheral nerves
SDHC	IF Gene: Adult Rx	Cancer predisposition
SDHC	IF Gene: Adult Rx	Spinal cord/Peripheral nerves
SDHD	IF Gene: Adult Rx	Cancer predisposition
SDHD	IF Gene: Adult Rx	Spinal cord/Peripheral nerves
SMARCB1	Confirmed DD Gene	Cancer predisposition
SMARCB1	Confirmed DD Gene	Musculature
STK11	Child IF	Cancer predisposition
SUFU	Child IF	Brain/Cognition
SUFU	Child IF	Cancer predisposition
HNF1A	IF Gene: Adult Rx	GI tract
HNF1A	IF Gene: Adult Rx	Cancer predisposition
TP53	IF Gene: Adult Rx	Cancer predisposition
VHL	IF Gene: Adult Rx	Cancer predisposition
VHL	IF Gene: Adult Rx	Brain/Cognition
VHL	IF Gene: Adult Rx	Kidney Renal Tract
WRN	IF Gene: Adult No Rx	Skin
WRN	IF Gene: Adult No Rx	Skeleton
KDM6A	Confirmed DD Gene	Skeleton
KDM6A	Confirmed DD Gene	Kidney Renal Tract
KDM6A	Confirmed DD Gene	Face
SMARCA2	Confirmed DD Gene	Skeleton
SMARCA2	Confirmed DD Gene	Skin
ACTB	Confirmed DD Gene	Eye
ACTG1	Confirmed DD Gene	Eye
PNPLA1	Probable DD gene	Skin
MEGF10	Confirmed DD Gene	Musculature
GATA2	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
ASXL1	Confirmed DD Gene	Brain/Cognition
ASXL1	Confirmed DD Gene	Face
FRMD7	Confirmed DD Gene	Brain/Cognition
CEP57	Confirmed DD Gene	Brain/Cognition
CEP57	Confirmed DD Gene	Bone Marrow/Immune 
ORC1	Confirmed DD Gene	Skeleton
ORC1	Confirmed DD Gene	Brain/Cognition
ORC4	Confirmed DD Gene	Skeleton
ORC4	Confirmed DD Gene	Ear
ORC6	Confirmed DD Gene	Skeleton
ORC6	Confirmed DD Gene	Brain/Cognition
CDT1	Confirmed DD Gene	Skeleton
CDT1	Confirmed DD Gene	Brain/Cognition
CDC6	Confirmed DD Gene	Skeleton
CDC6	Confirmed DD Gene	Ear
CDC6	Confirmed DD Gene	Brain/Cognition
CDT1	Confirmed DD Gene	Ear
ORC6	Confirmed DD Gene	Ear
ORC4	Confirmed DD Gene	Brain/Cognition
ORC1	Confirmed DD Gene	Ear
COLEC11	Confirmed DD Gene	Brain/Cognition
COLEC11	Confirmed DD Gene	Face
COLEC11	Confirmed DD Gene	Skeleton
MASP1	Confirmed DD Gene	Brain/Cognition
MASP1	Confirmed DD Gene	Face
MASP1	Confirmed DD Gene	Skeleton
ACP5	Confirmed DD Gene	Skeleton
ACP5	Confirmed DD Gene	Bone Marrow/Immune 
SLX4	Confirmed DD Gene	Skeleton
ACAD9	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
ACAD9	Confirmed DD Gene	Endocrine/Metabolic
GRIN2A	Confirmed DD Gene	Brain/Cognition
NUBPL	Confirmed DD Gene	Brain/Cognition
NUBPL	Confirmed DD Gene	Endocrine/Metabolic
FOXRED1	Confirmed DD Gene	Brain/Cognition
FOXRED1	Confirmed DD Gene	Endocrine/Metabolic
TMEM216	Probable DD gene	Brain/Cognition
RAD51C	Probable DD gene	Bone Marrow/Immune 
RAD51C	Probable DD gene	Brain/Cognition
RAD51C	Probable DD gene	Skeleton
PNKP	Confirmed DD Gene	Brain/Cognition
NRAS	Confirmed DD Gene	Skin
FKBP14	Confirmed DD Gene	Skin
FKBP14	Confirmed DD Gene	Skeleton
FKBP14	Confirmed DD Gene	Musculature
FKBP14	Confirmed DD Gene	Ear
CHRDL1	Confirmed DD Gene	Eye
KAT6B	Confirmed DD Gene	Skeleton
KAT6B	Confirmed DD Gene	Genitalia
RAD51	Probable DD gene	Brain/Cognition
SRCAP	Confirmed DD Gene	Skeleton
SRCAP	Confirmed DD Gene	Brain/Cognition
GPR179	Confirmed DD Gene	Eye
NYX	Confirmed DD Gene	Eye
GRM6	Confirmed DD Gene	Eye
TRPM1	Confirmed DD Gene	Eye
KIF11	Confirmed DD Gene	Brain/Cognition
KIF11	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
KIF11	Confirmed DD Gene	Eye
DDOST	Confirmed DD Gene	Endocrine/Metabolic
EFTUD2	Confirmed DD Gene	Brain/Cognition
EFTUD2	Confirmed DD Gene	Genitalia
EFTUD2	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
PIGA	Possible DD Gene	Brain/Cognition
ENPP1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
ABCC6	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
ABCB6	Possible DD Gene	Eye
SLC33A1	Confirmed DD Gene	Eye
SLC33A1	Confirmed DD Gene	Ear
SLC33A1	Confirmed DD Gene	Endocrine/Metabolic
RIPK4	Confirmed DD Gene	Skeleton
C8orf37	Confirmed DD Gene	Eye
EZH2	Confirmed DD Gene	Brain/Cognition
EZH2	Confirmed DD Gene	Skeleton
NRXN3	Possible DD Gene	Brain/Cognition
NRXN1	Probable DD gene	Brain/Cognition
NRXN2	Probable DD gene	Brain/Cognition
COX14	Possible DD Gene	Endocrine/Metabolic
COX14	Possible DD Gene	Brain/Cognition
CHSY1	Confirmed DD Gene	Skeleton
TAB2	Possible DD Gene	Heart/Cardiovasculature/Lymphatic
GJC2	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
GJC2	Confirmed DD Gene	Brain/Cognition
IFT122	Confirmed DD Gene	Skeleton
IFT122	Confirmed DD Gene	Face
IFT122	Confirmed DD Gene	Skin
HPSE2	Confirmed DD Gene	Face
HPSE2	Confirmed DD Gene	Kidney Renal Tract
RBM10	Probable DD gene	Face
RBM10	Probable DD gene	Brain/Cognition
SERPINB6	Confirmed DD Gene	Ear
POMP	Possible DD Gene	Skin
ATP7A	Confirmed DD Gene	Skin
ATP7A	Confirmed DD Gene	Skeleton
ATP7A	Confirmed DD Gene	Endocrine/Metabolic
FLVCR2	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
SLC52A3	Confirmed DD Gene	Ear
TSPAN12	Child IF	Eye
SH3PXD2B	Confirmed DD Gene	Skeleton
SH3PXD2B	Confirmed DD Gene	Eye
SH3PXD2B	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
SMARCA4	Confirmed DD Gene	Cancer predisposition
AIMP1	Probable DD gene	Brain/Cognition
PSMB8	Confirmed DD Gene	Skeleton
JAM3	Probable DD gene	Eye
FLVCR1	Confirmed DD Gene	Eye
COL11A1	Confirmed DD Gene	Eye
COL11A1	Confirmed DD Gene	Ear
PTPN14	Probable DD gene	Heart/Cardiovasculature/Lymphatic
PTPN14	Probable DD gene	Face
NFIX	Confirmed DD Gene	Brain/Cognition
NFIX	Confirmed DD Gene	Respiratory tract
CBL	Confirmed DD Gene	Skin
CBL	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
CBL	Confirmed DD Gene	Skeleton
PVRL4	Confirmed DD Gene	Skeleton
HSD17B4	Confirmed DD Gene	Ear
HSD17B4	Confirmed DD Gene	Genitalia
C12orf65	Confirmed DD Gene	Endocrine/Metabolic
ELOVL4	Both DD and IF	Eye
POLR3A	Confirmed DD Gene	Teeth & Dentitian
POLR3A	Confirmed DD Gene	Genitalia
NFU1	Confirmed DD Gene	Endocrine/Metabolic
BOLA3	Probable DD gene	Endocrine/Metabolic
DNAJC5	IF Gene: Adult Rx	Brain/Cognition
DNAJC5	IF Gene: Adult Rx	Endocrine/Metabolic
SYT14	IF Gene: Adult No Rx	Brain/Cognition
DOCK6	Probable DD gene	Skeleton
IL11	Possible DD Gene	Teeth & Dentitian
CCDC8	Probable DD gene	Skeleton
CUL7	Confirmed DD Gene	Brain/Cognition
ARHGAP31	Probable DD gene	Skin
ARHGAP31	Probable DD gene	Skeleton
BANF1	Probable DD gene	Heart/Cardiovasculature/Lymphatic
DHFR	Confirmed DD Gene	Endocrine/Metabolic
DHFR	Confirmed DD Gene	Bone Marrow/Immune 
SLC4A1	Both DD and IF	Endocrine/Metabolic
MMACHC	Confirmed DD Gene	Brain/Cognition
MMACHC	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
MMACHC	Confirmed DD Gene	Skeleton
FGF10	Confirmed DD Gene	Teeth & Dentitian
FGF10	Confirmed DD Gene	Skeleton
ACVR1	Probable DD gene	Musculature
MPV17	Confirmed DD Gene	GI tract
PDE11A	IF Gene: Adult Rx	Endocrine/Metabolic
RNASEH2B	Confirmed DD Gene	Skin
RNASEH2C	Confirmed DD Gene	Skin
RNASEH2A	Confirmed DD Gene	Skin
TREX1	Confirmed DD Gene	Skin
